Index,Year,Player,Pos,Age,Tm,G,GS,MP,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
9885,2003,Greg Ostertag,C,29,UTA,81,74,1926,24,11.5,0.531,0,0.601,11.8,19.6,15.8,4.4,0.6,5.9,20.1,12.3,0.8,2.6,3.4,0.084,-2.3,2.7,0.4,1.2,169,326,0.518,0,0,0,169,326,0.518,0.518,100,196,0.51,180,323,503,55,20,147,104,235,438
9886,2003,Bo Outlaw,C,31,PHO,80,20,1800,23,12.2,0.574,0.007,0.417,8.3,14.8,11.6,9.2,1.5,2.9,18.8,10.1,2.2,2.2,4.4,0.116,-1,2.9,1.9,1.8,153,278,0.55,0,2,0,153,276,0.554,0.55,72,116,0.621,134,234,368,112,50,71,76,194,378
9887,2003,Chris Owens,SF,23,MEM,1,0,6,6,20.1,0.667,0,0,19,0,9.4,0,0,0,25,30,0,0,0,-0.032,-1.3,-9.3,-10.7,0,2,3,0.667,0,0,0,2,3,0.667,0.667,0,0,0,1,0,1,0,0,0,1,0,4
9888,2003,Olumide Oyedeji,C,21,ORL,27,3,145,5,9.4,0.485,0,0.478,7.7,32.5,19.7,5.1,1.8,1.5,15.2,10.1,0.1,0.2,0.3,0.101,-5.3,0.7,-4.6,-0.1,10,23,0.435,0,0,0,10,23,0.435,0.435,7,11,0.636,10,40,50,5,5,3,5,30,27
9889,2003,Robert Pack,PG,33,NOH,28,4,440,16,13.3,0.473,0.039,0.426,2.9,10.7,6.7,30,3.1,0,20.7,20,0,0.6,0.6,0.068,-2.5,-0.3,-2.9,-0.1,52,129,0.403,0,5,0,52,124,0.419,0.403,41,55,0.745,11,40,51,81,25,0,40,35,145
9890,2003,Scott Padgett,PF,26,UTA,82,2,1321,16,12.4,0.496,0.314,0.253,7.9,16.7,12.5,10.8,1.7,1.4,13,18.8,1,1.5,2.5,0.091,-0.4,-0.2,-0.6,0.5,170,423,0.402,45,133,0.338,125,290,0.431,0.455,81,107,0.757,83,189,272,86,41,24,70,148,466
9891,2003,Milt Palacio,PG,24,CLE,80,46,1976,25,8.2,0.466,0.095,0.224,2.7,10.8,6.7,20.6,1.8,0.6,23.5,12.2,-0.6,0.8,0.2,0.004,-3.6,-0.7,-4.3,-1.1,162,388,0.418,8,37,0.216,154,351,0.439,0.428,65,87,0.747,48,187,235,259,68,16,131,168,397
9892,2003,Jannero Pargo,PG,23,LAL,34,0,342,10,7.3,0.449,0.258,0.043,2.9,9.3,6.1,17.1,2,0.4,19.5,15.3,-0.2,0.2,0.1,0.007,-3.6,-1.7,-5.3,-0.3,37,93,0.398,7,24,0.292,30,69,0.435,0.435,4,4,1,9,28,37,39,13,2,23,45,85
9893,2003,Smush Parker,PG,21,CLE,66,18,1103,17,11.3,0.523,0.349,0.349,2.9,9.3,6,24.7,2.2,0.8,25.4,20.6,-0.4,0.5,0.1,0.005,-2.1,-2.2,-4.4,-0.7,136,338,0.402,38,118,0.322,98,220,0.445,0.459,98,118,0.831,29,90,119,162,48,12,133,106,408
9894,2003,Tony Parker,PG,20,SAS,82,82,2774,34,16.5,0.542,0.233,0.278,1.4,7.3,4.5,27.9,1.4,0.1,14.5,22.9,5.1,2.6,7.7,0.134,1.9,-1.7,0.3,1.6,484,1043,0.464,82,243,0.337,402,800,0.503,0.503,219,290,0.755,33,183,216,432,71,4,198,174,1269
9895,2003,Cherokee Parks,PF,30,LAC,30,18,648,22,13.3,0.523,0.012,0.233,8.1,14.9,11.5,5.5,1.3,2.2,9.1,13.8,0.8,0.4,1.2,0.09,-1.3,0,-1.3,0.1,82,163,0.503,1,2,0.5,81,161,0.503,0.506,23,38,0.605,46,86,132,21,16,20,18,52,188
9896,2003,Ruben Patterson,SF,27,POR,78,17,1655,21,14.5,0.53,0.039,0.426,8.8,10.5,9.6,10.2,2.4,1.3,16,20.4,1.4,1.8,3.2,0.093,-0.6,0.5,-0.1,0.8,254,516,0.492,3,20,0.15,251,496,0.506,0.495,138,220,0.627,120,144,264,101,73,29,117,161,649
9897,2003,Gary Payton,PG,34,TOT,80,80,3208,40,21.1,0.504,0.124,0.24,2.9,9.5,6.1,38.9,2.2,0.5,10.3,26.4,7,2.1,9.1,0.136,4.2,-1,3.2,4.2,665,1466,0.454,54,182,0.297,611,1284,0.476,0.472,250,352,0.71,79,255,334,663,133,20,187,181,1634
9900,2003,Anthony Peeler,SG,33,MIN,82,39,2245,27,11,0.499,0.348,0.082,2.1,9.9,6.1,15.8,1.7,0.4,11.5,14.4,1.7,1.7,3.4,0.072,0,-0.3,-0.4,0.9,252,609,0.414,87,212,0.41,165,397,0.416,0.485,39,50,0.78,40,201,241,244,72,13,82,161,630
9901,2003,Wesley Person,SG,31,MEM,66,44,1941,29,13.5,0.565,0.384,0.161,1.4,9.6,5.6,9.3,1.1,0.7,8,16.2,3.1,0.2,3.3,0.082,1.3,-1.6,-0.3,0.8,274,601,0.456,100,231,0.433,174,370,0.47,0.539,79,97,0.814,24,168,192,112,42,19,56,64,727
9902,2003,Morris Peterson,SF,25,TOR,82,80,2949,36,12.6,0.488,0.321,0.23,3.6,10.7,7,11.1,1.6,0.8,9.8,20.3,2.1,1.1,3.2,0.052,0.2,-1.3,-1.1,0.7,421,1073,0.392,116,344,0.337,305,729,0.418,0.446,195,247,0.789,97,266,363,188,88,32,128,232,1153
9903,2003,Eric Piatkowski,SG,32,LAC,62,26,1360,22,16,0.601,0.451,0.274,3.7,9.3,6.5,9.1,1.3,0.5,10.1,18.5,3.3,0.3,3.6,0.129,2.7,-2.5,0.2,0.8,210,446,0.471,80,201,0.398,130,245,0.531,0.561,101,122,0.828,44,112,156,70,33,9,56,92,601
9904,2003,Paul Pierce,SG,25,BOS,79,79,3096,39,22.7,0.532,0.246,0.473,3.8,17.7,10.6,24.2,2.4,1.6,13,33.2,5.3,4.8,10.1,0.157,3.3,0.9,4.2,4.9,663,1592,0.416,118,391,0.302,545,1201,0.454,0.454,604,753,0.802,106,472,578,349,139,62,288,227,2048
9905,2003,Scottie Pippen,SF,37,POR,64,58,1911,30,15.3,0.52,0.223,0.248,3.6,14,8.8,24.3,3,1,19.9,20,1.2,2.6,3.8,0.095,0.3,1.6,2,1.9,265,597,0.444,38,133,0.286,227,464,0.489,0.476,121,148,0.818,57,221,278,285,105,25,164,149,689
9906,2003,Scot Pollard,C,27,SAC,23,0,325,14,14.6,0.497,0,0.437,16,18.8,17.5,2.7,2,3.1,12.6,16.1,0.4,0.6,1,0.15,-2.3,0.9,-1.4,0,40,87,0.46,0,0,0,40,87,0.46,0.46,23,38,0.605,46,60,106,6,13,15,15,50,103
9907,2003,James Posey,SF,26,TOT,83,71,2518,30,13.5,0.519,0.305,0.327,4.1,15.4,9.8,12.7,2.3,0.4,14.3,18.1,2.3,3.1,5.4,0.104,0,0.7,0.7,1.7,309,752,0.411,70,229,0.306,239,523,0.457,0.457,205,246,0.833,90,336,426,184,106,15,144,197,893
9910,2003,Lavor Postell,SG,24,NYK,12,0,98,8,7.8,0.482,0.184,0.395,1.2,3.7,2.4,5.1,1.1,0,13.6,24.3,-0.1,0,-0.1,-0.032,-4.9,-4.6,-9.5,-0.2,14,38,0.368,2,7,0.286,12,31,0.387,0.395,13,15,0.867,1,3,4,3,2,0,7,9,43
9911,2003,Vitaly Potapenko,C,27,SEA,26,2,403,16,8.2,0.492,0,0.312,7.2,19,13,1.6,1.2,1.6,19.1,15.2,-0.2,0.4,0.2,0.027,-6.1,-1,-7,-0.5,41,93,0.441,0,0,0,41,93,0.441,0.441,22,29,0.759,25,64,89,4,9,8,25,46,104
